City,City ID,Latitude,Longitude,Temperature (k),Humidity (%),Cloudiness (%),Wind Speed (m/sec)
Vila Velha,3445026,-20.3297,-40.2925,295.84,88,40,1.76
Krasnaya Gora,542788,52.9995,31.6023,284.74,85,100,2.41
Calama,3897347,-22.4667,-68.9333,287.42,13,75,5.66
Saint-Joseph,6690296,-21.3667,55.6167,294.09,80,19,1.92
Ipixuna,3408424,-1.7625,-48.8043,299.12,95,55,1.61
Lubumbashi,922704,-11.6609,27.4794,285.07,90,0,2.07
Assiut,359783,27.181,31.1837,295.25,40,0,7.29
San Fernando,1690039,15.0286,120.6898,302.94,66,51,2.39
Dawei,1293625,14.0833,98.2,301.02,81,100,0.51
Broomfield,5415035,39.9205,-105.0866,302.52,21,20,3.09
Kaitangata,2208248,-46.2817,169.8464,288.11,51,100,3.71
Saint Anthony,5044290,45.0205,-93.218,306.45,23,1,5.27
Coquimbo,3893629,-29.9533,-71.3436,287.0,94,90,0.92
Hithadhoo,1282256,-0.6,73.0833,301.01,78,100,9.26
Praia,3374333,14.9215,-23.5087,297.15,64,20,10.29
Burns Lake,5911745,54.2331,-125.7533,286.83,42,100,4.57
Lorengau,2092164,-2.0226,147.2712,302.8,70,32,3.42
Richards Bay,962367,-28.783,32.0377,288.58,77,98,4.42
Ilulissat,3423146,69.2167,-51.1,285.15,35,1,6.17
Parrita,3622537,9.5201,-84.3225,301.54,87,89,1.35
Matagami,6067747,49.7502,-77.6328,290.21,63,90,3.56
San Patricio,4726521,28.017,-97.5169,300.59,82,12,3.51
Novikovo,487928,51.1537,37.8879,285.5,92,98,3.6
São Filipe,3374210,14.8961,-24.4956,297.4,70,6,5.68
Viçosa do Ceará,3385106,-3.5622,-41.0922,292.06,87,3,0.83
Yomou,2414079,7.5603,-9.2653,295.18,99,57,1.28
Kumul,1529484,42.8,93.45,302.08,20,100,6.79
Duluth,5024719,46.7833,-92.1066,306.67,26,1,6.17
Tuktoyaktuk,6170031,69.4541,-133.0374,276.15,87,90,6.17
Vestmannaeyjar,3412093,63.4427,-20.2734,281.81,89,100,4.42
Ajdabiya,89113,30.7554,20.2263,294.3,39,0,4.57
Lázaro Cárdenas,4026082,17.9583,-102.2,302.2,68,100,3.12
Esperance,2071860,-33.8667,121.9,284.15,87,5,4.63
Longyearbyen,2729907,78.2186,15.6401,274.06,75,40,7.2
Kiryat Gat,293842,31.61,34.7642,291.17,100,1,0.94
Santa Fe,3836277,-31.6333,-60.7,296.27,86,100,0.89
Porto-Novo,2392087,6.4965,2.6036,300.05,81,93,1.8
Ugoofaaru,1337619,5.6667,73.0,301.3,77,100,7.56
Beloha,1067565,-25.1667,45.05,290.35,87,10,3.62
Parral,4004867,26.9333,-105.6667,298.36,23,5,6.6
Wakkanai,2127515,45.4094,141.6739,290.14,72,20,11.83
Olsztyn,763166,53.7799,20.4942,287.13,82,100,1.75
Chokurdakh,2126123,70.6333,147.9167,292.21,53,100,3.81
Takāb,113508,36.4009,47.1133,287.75,35,0,1.36
Cabo San Lucas,3985710,22.8909,-109.9124,304.95,27,1,6.17
Nanortalik,3421765,60.1432,-45.2371,276.4,84,100,3.98
Ciudad Bolivar,3645532,8.1222,-63.5497,299.15,83,100,6.01
Souillac,933995,-20.5167,57.5167,295.36,100,75,6.53
Ahipara,2194098,-35.1667,173.1667,290.32,69,100,6.4
Mackay,2159220,-21.15,149.2,292.14,52,0,7.72
Saint-Philippe,935215,-21.3585,55.7679,294.66,85,44,3.89
Pacific Grove,5380437,36.6177,-121.9166,288.47,81,20,2.68
Tilichiki,2120591,60.4667,166.1,281.76,73,100,2.05
Mossamedes,3347019,-15.1961,12.1522,294.57,60,0,1.11
Bahār,142000,34.9072,48.4414,291.35,22,0,2.17
Itaituba,3397967,-4.2761,-55.9836,298.86,76,62,0.42
Norman Wells,6089245,65.282,-126.8329,290.15,45,75,5.66
Westport,4845585,41.1415,-73.3579,292.11,93,75,0.45
Sur,286245,22.5667,59.5289,303.04,70,0,2.98
Kikwit,2314705,-5.041,18.8162,295.05,49,0,1.35
Kajaani,654899,64.2273,27.7285,288.18,58,0,4.12
San Policarpo,1688696,12.1791,125.5072,299.95,82,98,1.62
Dingle,1714733,10.9995,122.6711,301.67,82,93,2.89
Kuruman,986134,-27.4524,23.4325,278.32,53,0,4.63
Mar del Plata,3430863,-38.0023,-57.5575,286.07,86,100,1.54
Porbandar,1259395,21.6422,69.6093,301.99,69,80,4.39
Narsaq,3421719,60.9167,-46.05,281.27,82,100,1.53
Naze,1855540,28.3667,129.4833,297.15,94,75,7.2
Spornoye,578283,50.8448,37.2913,284.16,93,76,4.16
Bairiki Village,7601762,1.3292,172.9752,301.15,78,75,3.6
Bontang,1648186,0.1333,117.5,301.16,78,16,1.97
Santa Rosa,1687894,14.3122,121.1114,304.31,75,54,3.09
Soldato-Aleksandrovskoye,491085,44.2653,43.7561,289.01,97,9,3.53
Parkes,2153778,-33.1333,148.1833,281.28,61,0,2.48
Gaziantep,314830,37.0594,37.3825,290.11,55,0,4.2
Port Hedland,2063042,-20.3167,118.5667,295.15,37,90,4.63
Mēga,331259,4.05,38.3,288.79,79,100,8.07
Anchorage,5879400,61.2181,-149.9003,287.9,56,1,0.45
Bismil,321031,37.8486,40.6658,286.21,34,0,1.72
Yulara,6355222,-25.2406,130.9889,286.06,58,0,4.63
San Quintín,3984997,30.4833,-115.95,291.9,70,1,3.46
Cockburn Town,3576994,21.4612,-71.1419,299.67,82,0,9.47
Amambai,3472391,-23.1042,-55.2258,293.36,57,10,3.23
Derzhavīnsk,1524606,51.1,66.3167,281.28,49,0,6.21
Chui,3443061,-33.6971,-53.4616,289.9,97,94,3.87
Ucluelet,6171633,48.9329,-125.5528,284.9,100,90,7.2
Poya,2138522,-21.35,165.15,299.51,54,85,2.47
Hanmer Springs,2190299,-42.5167,172.8167,284.8,69,100,2.94
Airai,1651810,-8.9266,125.4092,293.68,57,58,1.77
Kavieng,2094342,-2.5744,150.7967,302.38,71,91,4.99
Tiksi,2015306,71.6872,128.8694,275.43,90,100,2.48
Bilibino,2126682,68.0546,166.4372,291.49,39,100,6.29
Grand Gaube,934479,-20.0064,57.6608,295.93,90,10,2.68
Sovetskiy,1491230,61.3614,63.5842,287.57,47,11,3.63
Arrecife,2521570,28.963,-13.5477,292.14,72,40,6.17
Japura,1642773,-0.3167,102.35,298.45,91,100,1.04
Westerly,5225631,41.3776,-71.8273,289.94,94,90,2.86
Santa Cruz,2561668,30.4202,-9.5982,290.4,84,1,2.31
Oodweyne,53372,9.4092,45.064,296.97,54,78,6.29
Arraial do Cabo,3471451,-22.9661,-42.0278,296.22,87,1,6.85
Eyrarbakki,3413604,63.863,-21.1481,281.6,94,100,3.04
Central Point,5718601,42.376,-122.9164,304.08,19,1,4.63
Lingdong,2036081,46.5669,131.1453,290.77,56,66,1.63
Susanville,5572400,40.4163,-120.653,302.69,17,1,5.81
Tsabong,932987,-26.0217,22.401,282.47,39,0,4.46
Palana,2122262,59.1167,159.9667,279.78,66,100,1.81
Rye,5134693,40.9807,-73.6837,292.26,87,20,2.06
Tual,1623197,-5.6667,132.75,300.85,73,87,8.08
São Gabriel da Cachoeira,3662342,-0.1303,-67.0892,296.77,88,17,0.45
Juana Díaz,4565712,18.0525,-66.5066,298.64,82,100,3.24
Kyra,2021041,49.5776,111.9753,292.82,39,2,0.85
Laurinburg,4475347,34.7741,-79.4628,299.17,82,1,2.06
Skellefteå,602913,64.7507,20.9528,285.37,60,100,2.02
Makakilo City,5850554,21.3469,-158.0858,301.61,55,90,5.66
Ponta Delgada,3372783,37.7333,-25.6667,290.55,82,20,2.06
Tura,1254046,25.5198,90.2201,298.43,91,16,2.54
Province of Mantua,3174050,45.1667,10.7833,292.46,77,20,0.51
Moose Factory,6078372,51.2585,-80.6094,280.63,100,90,7.2
Lebu,3883457,-37.6167,-73.65,283.32,84,3,2.02
Diffa,2445704,13.3154,12.6113,300.63,48,93,3.33
Boa Vista,3664980,2.8197,-60.6733,301.14,78,75,1.54
Makat,608872,47.6469,53.3463,294.88,42,96,2.88
Kruisfontein,986717,-34.0033,24.7314,279.75,75,0,2.21
Lavrentiya,4031637,65.5833,-171.0,273.9,90,100,3.0
Besskorbnaya,576672,44.6447,41.311,283.33,88,62,1.44
Torbay,6167817,47.6666,-52.7314,285.23,97,90,9.77
Funes,3855302,-32.9157,-60.81,292.77,92,75,1.54
Loa Janan,1637510,-0.583,117.095,301.81,76,35,0.98
Becerril,3689026,9.7041,-73.2793,299.58,78,100,2.0
Flinders,6255012,-34.5833,150.8552,287.17,59,0,0.89
Tuatapere,2180815,-46.1333,167.6833,288.55,66,91,4.85
Opuwo,3354077,-18.0607,13.84,285.67,25,0,4.33
Havelock,4470244,34.8791,-76.9013,295.4,93,75,0.45
Petropavlovsk-Kamchatskiy,2122104,53.0452,158.6483,289.15,39,100,4.0
San Cristobal,3628473,7.7669,-72.225,296.25,96,100,1.35
Kidal,2455290,18.4411,1.4078,307.84,11,4,3.74
Platteville,5267332,42.7342,-90.4785,301.62,32,1,5.66
Gushikawa,1863495,26.3544,127.8686,301.71,86,75,6.87
Chimoio,1049261,-19.1164,33.4833,284.07,87,20,4.18
Port-Gentil,2396518,-0.7193,8.7815,299.15,89,40,4.12
Shimoda,1852357,34.6667,138.95,295.35,58,8,3.82
Khandyga,2022773,62.6667,135.6,298.25,35,7,1.49
Oudtshoorn,967106,-33.5907,22.2014,280.35,47,0,0.84
Ayan,2027316,56.45,138.1667,278.13,90,86,4.71
Razdol'noye,2017478,43.55,131.9167,290.38,69,70,3.72
Burnie,2173125,-41.0667,145.9167,284.42,87,100,8.99
Najrān,103630,17.4924,44.1277,296.51,16,0,1.98
Kjøpsvik,3150002,68.097,16.3742,284.71,72,100,1.22
Ulaangom,1515029,49.9811,92.0667,291.72,57,100,2.04
Ancud,3899695,-41.8697,-73.8203,278.2,93,75,1.03
San Rafael del Sur,3616594,11.8485,-86.4384,302.69,57,8,3.51
Bobcaygeon,8125787,44.5462,-78.542,294.75,93,7,2.49
Benguela,3351663,-12.5763,13.4055,295.59,86,0,0.97
Sterling,4787534,39.0062,-77.4286,296.75,59,1,0.88
Kloulklubed,7671223,7.0419,134.2556,302.43,79,100,1.74
La Ronge,6050066,55.1001,-105.2842,298.29,29,40,3.6
Puerto Escondido,3520994,15.85,-97.0667,303.61,70,40,0.0
Marechal Cândido Rondon,3457772,-24.5561,-54.0567,293.37,69,0,3.99
Alta Floresta,6316343,-9.8756,-56.0861,295.96,58,100,0.62
Mayskiy,528242,47.6931,40.1025,285.82,90,100,2.06
João Câmara,3397315,-5.5375,-35.8197,297.15,83,20,2.06
Vanimo,2084442,-2.6741,141.3028,298.1,93,100,2.45
Umm Kaddadah,364933,13.6017,26.6876,303.24,34,96,1.45
Sokolo,2450849,14.7328,-6.1219,309.47,19,2,2.99
San Miguel de Cozumel,3530103,20.5083,-86.9458,302.08,80,75,1.79
Stokmarknes,3136690,68.5646,14.9108,283.85,84,96,4.47
Ixtapa,4004293,20.7,-105.2,301.72,79,40,6.17
Hay River,5972762,60.8156,-115.7999,289.66,55,100,2.57
Yangi Marg`ilon,1513491,40.4272,71.7189,295.15,37,0,2.06
Acapulco de Juárez,3533462,16.8634,-99.8901,304.05,66,75,2.46
Soyo,2236967,-6.1349,12.3689,298.01,91,33,3.11
Buala,2109528,-8.145,159.5921,301.74,75,18,2.88
Glinka,561234,54.6404,32.8781,282.86,88,30,2.19
Aksha,2028028,50.2814,113.2867,293.96,39,4,0.83
Corinth,259289,37.9407,22.9573,291.83,65,14,1.19
Manggar,1636426,-2.8833,108.2667,302.52,69,4,4.71
Egvekinot,4031742,66.3167,-179.1667,275.23,68,32,1.89
Jucuarán,3585395,13.2539,-88.2478,300.4,93,46,1.3
Roald,3141667,62.5833,6.1333,286.77,88,37,2.37
St. George's,3579925,12.0564,-61.7485,300.97,78,40,5.14
Bambanglipuro,1650434,-7.95,110.2833,299.81,75,3,1.01
Samarai,2132606,-10.6167,150.6667,298.26,93,100,6.11
Måløy,3146487,61.9353,5.1136,286.41,91,69,2.94
Sangar,2017215,63.9242,127.4739,294.76,48,28,4.43
Rio Grande,3451138,-32.035,-52.0986,289.79,92,13,4.3
Karratha,6620339,-20.7377,116.8463,295.52,49,10,7.93
Bagdarin,2027244,54.4333,113.6,293.77,37,2,1.94
Zhanakorgan,1517323,43.9098,67.2495,299.99,30,3,2.23
Sampit,1628884,-2.5333,112.95,302.19,70,4,0.78
Yeniseysk,1485997,58.4497,92.1703,283.64,51,100,3.13
Bartica,3379507,6.4,-58.6167,298.33,98,100,1.27
Adrar,2381972,20.5022,-10.0711,305.84,22,0,8.74
Vila Franca do Campo,3372472,37.7167,-25.4333,290.38,80,100,1.77
Pio IX,3392020,-6.8375,-40.5792,296.65,64,86,3.11
Artyom,587207,40.4723,50.333,293.23,78,0,7.92
Erie,5116642,42.7667,-78.6664,292.69,81,6,0.45
Jumla,1283285,29.2747,82.1838,288.56,78,5,0.42
Shelburne,6145890,44.0787,-80.2041,295.17,92,28,3.21
Ribeira Grande,3372707,38.5167,-28.7,290.69,86,100,3.24
Seidu,2404036,9.0167,-10.6,294.45,97,99,1.68
Havre-St-Pierre,5972291,50.2334,-63.5986,284.35,87,1,2.06
Alice Springs,2077895,-23.7,133.8833,287.15,58,0,3.09
Massakory,2428228,12.996,15.7293,302.28,48,100,1.88
Gravdal,3155152,68.1214,13.5031,282.84,90,97,4.29
Hoquiam,5797693,46.9809,-123.8893,290.11,61,90,4.12
Ondjiva,3346821,-17.0667,15.7333,283.05,30,0,3.85
Sibolga,1213855,1.7427,98.7792,296.85,90,100,1.62
Mmabatho,975436,-25.85,25.6333,276.15,65,0,3.09
Alindao,240999,5.0267,21.2088,294.59,98,100,2.25
Pirgos,261814,35.1167,25.7178,293.78,66,0,6.65
Pisco,3932145,-13.7,-76.2167,290.18,82,0,7.2
Itumba,158876,-9.4,33.1833,287.3,97,30,2.34
Chifeng,2038067,42.2683,118.9636,295.61,29,8,7.52
Martapura,1636022,-3.4167,114.85,301.2,83,18,1.26
Grover Beach,5354552,35.1216,-120.6213,290.92,64,1,0.89
Bodden Town,3580733,19.2833,-81.25,301.43,58,20,0.89
Ḩasanābād,7052836,36.5465,61.0543,301.27,42,14,3.09
Terney,2015352,45.0503,136.6092,287.62,76,100,1.71
Impfondo,2259655,1.6381,18.0667,295.17,95,100,0.65
Canguçu,3467512,-31.395,-52.6756,289.82,92,10,2.79
Beyneu,610298,45.3167,55.2,297.41,33,96,7.3
Waitati,2179825,-45.75,170.5667,285.82,49,100,3.38
Mehamn,778707,71.0357,27.8492,279.92,93,100,8.22
Visnes,3131500,59.3556,5.2242,286.91,82,75,3.09
Livingston,2644204,55.9029,-3.5226,281.01,93,0,1.03
Portage,5167284,41.1667,-81.1998,297.41,53,1,2.06
Mount Gambier,2156643,-37.8333,140.7667,284.1,82,90,7.2
Klyuchi,1503153,52.2667,79.1667,282.31,75,87,9.99
Rocha,3440777,-34.4833,-54.3333,290.92,99,100,1.44
College,5859699,64.8569,-147.8028,291.49,59,75,3.09
Les Cayes,3728097,18.2,-73.75,299.14,81,98,2.66
Talnakh,1490256,69.4865,88.3972,272.69,97,100,4.12
Geraldton,2070998,-28.7667,114.6,284.38,82,0,3.09
Saint George,5546220,37.1041,-113.5841,313.25,10,1,0.89
Maceió,3395981,-9.6658,-35.7353,296.84,88,20,4.05
Iquitos,3696183,-3.7481,-73.2472,298.17,88,75,1.54
Nehe,2035610,48.4833,124.8333,284.63,91,100,5.61
Monforte de Lemos,3116478,42.5216,-7.5142,278.94,95,1,0.74
Tabursuq,2464855,36.4569,9.2475,294.31,69,100,1.65
Toamasina,1053384,-18.1667,49.3833,292.15,100,40,1.03
Lagoa,3372964,39.05,-27.9833,290.06,89,94,4.82
Puri,1259184,19.8,85.85,302.15,89,20,3.6
Barreiras,3470583,-12.1528,-44.99,293.71,45,22,2.1
Kasama,912764,-10.2129,31.1808,287.53,84,53,1.98
Taoudenni,2450173,22.6783,-3.9836,309.25,17,77,6.81
Byron Bay,2172880,-28.65,153.6167,290.41,65,13,6.41
Jimo,1805757,36.3897,120.4622,299.15,47,20,1.0
Haines Junction,5969025,60.7522,-137.5108,289.12,21,99,2.57
Beisfjord,3144987,68.3751,17.5988,285.85,78,100,1.18
Ilhabela,3461425,-23.7781,-45.3581,295.16,91,32,3.27
Coachella,5338166,33.6803,-116.1739,312.77,15,1,2.24
Benxi,2038300,41.2886,123.765,293.33,50,40,4.78
Menongue,3347353,-14.6585,17.691,280.44,39,0,1.97
